mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,label
-271.6198,112.386734,-47.71341,-12.142614,-11.461189,-7.878829,-13.797426,-10.421242,-10.715836,-3.4851215,-6.089336,-3.9680924,-5.994256,-7.1083403,-9.831245,-2.1259055,-12.739613,-6.6972356,-10.557264,-8.849013,-11.603782,-4.82555,-5.411697,-0.18828201,-1.0059716,2.3598325,-1.6235505,-1.0661354,-2.4363298,0.07373191,-2.6189704,-1.123292,-2.0073428,-0.8163259,-3.4952793,-0.9596891,-3.3853257,-2.228052,-4.253115,-1.3425616,Human
-253.7583,111.19869,0.025428155,21.919771,10.999806,0.42723277,-2.672259,1.376005,-2.6662412,8.432921,-4.1798515,0.75374055,0.4720699,3.1962159,1.3231832,2.0042517,-0.37439352,2.4585948,-0.8134446,-0.63447195,-1.1410377,0.80331415,-1.697484,0.7054393,-4.5751376,-1.0252815,-2.8113918,0.02283833,-2.8081787,-1.0877703,-2.4780183,-0.10921472,-1.78474,0.09395677,-2.4857798,0.008666584,-1.9786209,-0.21065234,-2.246625,-0.747376,Human
-273.57657,86.272354,-22.510695,14.258929,-8.574967,-18.435638,-19.033485,-8.5928135,-9.958231,0.09479926,-13.147628,-3.3257794,-12.213191,-8.423091,-5.805429,-14.021781,-8.48248,-3.0034146,-12.952345,-5.190984,-6.464353,-6.627947,-4.9516854,-2.9859185,-5.8840075,-0.31608197,-5.4810286,0.46458527,-2.4655094,2.3881884,0.43700695,3.7109811,0.59137934,3.7715485,-1.1555588,3.7390244,0.84162164,2.663779,0.29321128,1.4970691,Human
-248.25034,168.3265,-16.7589,21.82497,12.965026,-8.925607,-9.284952,-23.104204,-13.211214,-6.284072,-2.4571843,1.5384908,0.17321655,-1.0333483,-3.2165084,4.095049,0.77687645,-6.1183553,1.1839623,-1.4644839,-6.384219,-3.321093,-2.5329647,-4.103459,-3.8347275,-1.3609282,-2.224287,-1.9525465,-1.6055067,-1.9018159,1.2875417,-0.40326405,-0.8815599,1.440329,-0.28454143,0.22697215,0.32959262,-0.2945281,-0.1027262,-1.2355577,Human
-434.05338,107.21038,-33.739788,0.96311957,-19.446568,0.28058934,-10.278035,-4.052761,-6.1296163,2.2275043,0.1263053,1.7862052,-0.7035885,2.4258833,-7.1503797,-0.68796414,-4.458759,-3.3922596,-5.05906,-1.9923748,-8.436198,-4.841271,-4.9810166,-3.126857,-4.1673136,0.69200855,0.3871088,0.9766708,2.254317,3.466793,2.6338303,3.739172,1.7788231,2.7859592,1.6171064,2.046596,0.7785204,0.8008542,0.31060404,0.50141585,Human
-349.35193,97.0872,-11.314984,7.3827214,-4.578025,-2.0815094,-21.578035,-13.981963,-15.499442,-11.203362,-8.291728,-2.8291776,-10.226496,-4.606255,-5.7123184,-4.907219,-12.048504,-5.627308,-6.5817776,-5.166372,-8.393005,-2.9111767,-6.021822,-4.5524936,-1.9567283,-2.4264052,-1.6073272,-1.1255959,-2.520428,-0.55594337,-3.3074384,-0.91401637,-2.3207095,-0.8618319,-4.529493,-2.50148,-4.50807,-1.1846492,-2.3900971,-1.1393268,Human
-338.35785,40.91373,-0.13718528,14.077714,-15.050439,-9.3139925,-17.79236,-8.820735,-12.17114,-7.7644377,-10.446842,-6.575906,-10.960004,-9.336769,-11.170307,-10.656804,-12.174821,-5.2845154,-10.997549,-7.035761,-8.096702,-5.5084453,-8.671614,-2.6735787,-7.5310874,-2.6129122,-6.239316,-1.8746634,-5.301786,-1.6114409,-5.52067,-0.84592044,-3.1769495,0.37007615,-2.9313147,0.56128055,-1.3530315,1.8265123,0.02059052,3.3887703,Human
-281.3195,80.01851,-23.514507,-1.3656542,-10.867904,-5.842131,-22.660925,-8.209391,-12.630934,-10.4182005,-5.482346,-5.027616,-9.908494,-3.0413945,-6.694696,-2.0028799,-8.622828,-2.8190901,-5.021491,-2.3278804,-5.424001,-0.5746375,-5.127428,-1.4412415,-5.324,-1.8762331,-5.0332375,-2.4591813,-3.87949,-2.3013482,-2.210036,-0.8529528,-2.5739899,0.5818011,-2.9513946,0.63528746,-1.750447,-0.15697777,-0.929772,-0.015502656,Human
-257.25024,96.83003,-21.471783,-4.1753545,-11.693214,-15.588406,-9.367866,-8.477165,-12.692205,3.3325586,-16.427025,-5.750184,-6.8178525,-7.3065863,-6.542129,-6.905317,-6.4848733,-4.899963,-7.328944,-7.064051,-6.388921,-4.432751,-9.236521,-3.1687887,-8.120876,-5.6927032,-7.8874893,-4.856411,-8.870419,-3.7003837,-4.888301,-2.2594461,0.9093869,1.2922306,0.59891427,2.2408402,-0.19162165,0.9098244,-0.20286937,1.8667134,AI
-256.99866,91.23195,-24.979218,-4.523542,-10.601305,-19.722775,-14.684053,-8.322732,-11.792879,-1.7403336,-11.822025,-4.700172,-6.3699827,-11.637483,-8.132101,-13.362271,-11.45646,-4.5250497,-7.4373293,-5.2624087,-6.282297,-5.901247,-1.9376321,8.193413,2.8460531,5.1970444,1.573259,3.1954339,3.2456558,0.7437966,-1.9107256,-0.28846994,-0.15829082,-1.1130126,-1.3712437,0.070724815,-2.0218728,-1.6831667,-1.2401979,2.062002,AI
